Ambiances,Script Ambiances,Formats/Ratios),Script Formats/Ratios,Angles,Scripts Angles,Styles Photo,Scripts Styles Photos,Scénarios,Scripts Scénarios,Personnages,Script Personnages,Lumières,Script Lumières,,,
Cuisine Moderne,sur un plan de travail de cuisine en marbre blanc,arrière-plan de cuisine moderne flou,composition carrée,sujet centré,vue de face à hauteur d'yeux,parfaitement centrée,esthétique lumineuse et aérée,ombres minimales,versant un liquide dans un verre à côté du produit,mouvement figé,un athlète professionnel de 30 ans,carrure musclée,éclairage softbox professionnel,lumière diffuse ultra-douce,sans reflets agressifs,
Studio Minimaliste,configuration de studio professionnel,fond gris doux uni,composition verticale mobile-first,espace pour texte en haut et en bas --ar 9:16,vue de profil aux trois quarts,soulignant la forme 3D et la profondeur,ambiance sombre et dramatique,contraste élevé,produit sortant d'un sac de sport élégant,cadre de vie urbain,une femme élégante de 35 ans,costume minimaliste ajusté,contre-jour puissant créant un contour net et brillant,séparation du produit et du fond,,
Luxe & Élégance,sur une surface en verre noir réfléchissant,accents d'or et de velours,vue cinématographique paysage,cadrage commercial,vue de dessus à plat,regard direct sur le bouchon et le haut du packaging,profondeur de champ extrêmement faible,mise au point nette,produit posé sur une table basse à côté d'une tasse fumante et d'un livre,intérieur chaleureux,un jeune homme branché de 22 ans,sweat à capuche et bonnet stylés,faisceaux lumineux visibles et rayons de soleil,particules de poussière,sensation magique,
Nature & Fraîcheur,entouré de feuilles vertes fraîches et de gouttelettes d'eau,fond en texture de bois,orientation portrait,détails élevés,gros plan sur une partie spécifique du produit,focus sur le branding et la texture,composition grand angle,étalonnage des couleurs dramatique,posé sur un tapis de yoga,personne floue en pose en arrière-plan,une femme de 28 ans en tenue de yoga premium,expression sereine,style clair-obscur,contraste élevé,ombres profondes,source de lumière unique et forte
Énergie & Sport,sur un sol de salle de sport sombre ou une surface métallique,atmosphère énergique,[Format non spécifié] --ar 1:1,,[Angle non spécifié],,reflets hyper-réalistes,illumination globale,produit posé sur un rocher au bord d'une falaise,vue sur une vaste vallée,un couple de 60 ans actif,vêtements décontractés en lin élégants,lumière naturelle chaude de fin de journée,ombres allongées,lueur orangée nostalgique,
Cuisine Rustique,"Set on a worn wooden farmhouse table, warm sunlight through a window, rustic kitchen tools in the background, cozy and authentic atmosphere.",,,,,Vogue / Mode,"Sharp editorial lighting, high fashion aesthetic, sophisticated composition, clean and polished post-processing.",Travail Créatif,"Next to a tablet and stylus, bright modern studio desk, colorful artistic background.",L'Étudiant Créatif,"A 20-year-old with a colorful aesthetic, wearing oversized glasses and a denim jacket, creative and energetic vibe.",Néon / Cyberpunk,"Dual tone lighting (cyan and magenta), vibrant neon reflections on the product surface, futuristic urban vibe.",,,
Terrasse Été,"Outdoor glass table, bright sunny day, harsh shadows for a summer vibe, blurred garden background with green foliage.",,,,,Vintage 90's,"Film grain, slight motion blur, flash photography look, nostalgic saturated colors, analog aesthetic.",Après l'Effort,"Product covered in condensation on a bench, blurred stadium or track in the background, intense achievement vibe.",Le Chef de Cuisine,"A professional chef in a clean white tunic, focused on the product, blurred high-end kitchen background.",Hard Sunlight,"Direct mid-day sun, very sharp and dark shadows, high contrast, modern summer lifestyle aesthetic.",,,
Bord de Piscine,"Placed on a poolside ledge, turquoise water reflections on the product, bright daylight, splashing water droplets, vacation vibes.",,,,,Noir & Blanc Artistique,"Monochrome, high contrast, dramatic shadows, focus on shapes and textures, timeless elegant look.",Cérémonie/Fête,"Surrounded by confetti and champagne glasses, celebratory atmosphere, blurred party lights.",Le Voyageur/Nomade,"A 40-year-old man with a backpack, weathered but stylish outdoor clothes, looking at the horizon, adventurous spirit.",Lumière de Fenêtre,"Natural soft side-lighting coming from a large window, realistic domestic atmosphere, organic feel.",,,
Petit Déjeuner,"Morning bright atmosphere, set next to a bowl of cereals and a linen napkin, soft bokeh, healthy and fresh lifestyle start.",,,,,Style Polaroid,"Instant film look, square frame feel, soft colors, slightly overexposed, nostalgic and authentic.",Préparation Cuisine,"Surrounded by raw ingredients (fruits, herbs, spices), cutting board, natural culinary light.",Mannequin Beauté,"Close-up of a face with flawless skin, soft natural makeup, elegant and glowing aesthetic, focus on health.",,,,,
Néon Cyberpunk,"Dark metallic surface, glowing blue and pink neon lights reflecting on the bottle, futuristic and energetic night atmosphere.",,,,,Lumière d'Or (Golden Hour),"Warm sunset lighting, long soft shadows, orange and golden hues, dreamy and natural atmosphere.",Shopping Urbain,"Placed on a marble ledge in front of a luxury store window, reflections of city lights and luxury architecture.",Le Gamer/Techie,"A young adult in a dimly lit room with RGB lighting, wearing headphones, modern tech-focused lifestyle.",,,,,
